Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2037,5865.0,30.897803114571744,14,1561,563.768831574206,30.897803114571744,13.795110593713611
2038,3971.0,20.999049870226177,0,1073,398.7239779672908,20.999049870226177,-32.293265132139815
2039,6615.0,34.96777669632925,2,2696,742.1930801225636,34.96777669632925,66.58272475446991
2040,4934.0,26.97992561179088,0,2018,576.5442241703947,26.97992561179088,-25.411942554799694
2041,4003.0,21.446114896180944,0,1067,397.4478715580958,21.446114896180944,-18.869071747061206
2042,4214.0,22.13603077493511,0,1127,394.2306277787,22.13603077493511,5.271046714963767
2043,5825.0,30.998997728958102,4,1679,562.9354005136959,30.998997728958102,38.22971048884669
2044,5177.0,27.33101594364108,0,1329,408.89462041711994,27.33101594364108,-11.12446351931331
2045,4888.0,26.409581247682613,0,1570,468.7131965350033,26.409581247682613,-5.5823836198570564
2046,5652.0,30.276395068594734,0,1945,590.5966166821172,30.276395068594734,15.630114566284782
2047,5127.0,27.04890850945495,0,2294,636.1938133790819,27.04890850945495,-9.28874734607219
2048,4765.0,25.387537078235074,2,1065,388.3146470988638,25.387537078235074,-7.060659254924905
2049,6469.0,35.49326798294402,0,3064,873.8599282736474,35.49326798294402,35.760755508919196
2050,4534.0,23.93637606599926,0,1292,372.9242753583026,23.93637606599926,-29.911887463286448
2051,4575.0,24.483842000370785,8,900,360.1684265098003,24.483842000370785,0.9042787825319865
2052,2858.0,15.242005005561737,0,1006,326.84325777276655,15.242005005561737,-37.53005464480874
2053,4783.0,25.717684000741567,9,1081,443.96692307859917,25.717684000741567,67.35479356193142
2054,6317.0,33.470806683351874,0,1853,573.1705217208025,33.470806683351874,32.07192138825006
2055,3284.0,17.431932471264368,0,861,252.30945405604726,17.431932471264368,-48.01329745132183
2056,6210.0,33.33616634223211,0,1726,619.9447922634283,33.33616634223211,89.09866017052374
2057,5295.0,27.956548943270302,0,1465,467.1655585452646,27.956548943270302,-14.734299516908212
2058,4123.0,21.91295304968483,0,1975,545.0770518231733,21.91295304968483,-22.13408876298395
2059,3281.0,17.38609450315165,3,1180,324.1171108027953,17.38609450315165,-20.422022798932815
2060,3975.0,21.069967788283275,0,1058,384.33369142404933,21.069967788283275,21.152087778116435
2061,4211.0,22.277576937337784,1,871,308.15121976462177,22.277576937337784,5.937106918238988
2062,3679.0,19.574110122358178,2,1134,344.2566321625174,19.574110122358178,-12.633578722393734
2063,4985.0,26.570732526881724,0,2229,654.735818803464,26.570732526881724,35.49877684153302
2064,3704.0,19.532698368557657,4,1090,359.1025007718633,19.532698368557657,-25.69709127382146
2065,4890.0,26.121576056729698,0,2085,617.7032974141903,26.121576056729698,32.01943844492441
2066,4537.0,24.017108129403038,0,1726,540.9860455826486,24.017108129403038,-7.218813905930466
2067,5056.0,27.240695680385617,8,2067,676.2674744283485,27.240695680385617,11.439277055322904
2068,3810.0,20.13408416759362,0,1144,354.8042994512481,20.13408416759362,-24.643987341772156
2069,3467.0,18.64709051724138,0,853,275.8864912615441,18.64709051724138,-9.002624671916015
2070,5510.0,29.14933259176863,0,1146,440.296972783625,29.14933259176863,58.92702624747621
2071,6126.0,32.46153133110864,4,1955,575.7126019117525,32.46153133110864,11.17967332123413
2072,2630.0,14.00760683166481,0,868,273.23643884949075,14.00760683166481,-57.06823375775383
2073,5574.0,29.70210534853541,1,1414,521.8363554009837,29.70210534853541,111.93916349809885
2074,4238.0,22.76585673896923,6,1665,520.3101930288287,22.76585673896923,-23.968424829565837
2075,4999.0,27.258927743789396,0,1789,517.5479702550783,27.258927743789396,17.9565832940066
2076,2165.0,11.486721357063404,0,439,165.03633667844915,11.486721357063404,-56.691338267653535
2077,4135.0,22.144639877641826,7,1041,361.6066316601592,22.144639877641826,90.99307159353349
2078,5954.0,31.23909088802373,0,2092,699.5129257800269,31.23909088802373,43.990326481257554
2079,1857.0,9.921620087133853,0,814,225.92119502967483,9.921620087133853,-68.81088343970441
2080,4706.0,25.399813450129773,0,1347,439.13403075791905,25.399813450129773,153.41949380721593
2081,7300.0,38.607532675194655,0,1731,655.624661654591,38.607532675194655,55.12112197195069
2082,3282.0,17.33679203744902,1,1339,392.9891277700371,17.33679203744902,-55.04109589041095
2083,6279.0,33.95043103448276,9,2112,620.7614276032299,33.95043103448276,91.3162705667276
2084,3957.0,20.992022385984427,4,984,357.57316479542783,20.992022385984427,-36.980410893454376
2085,4159.0,22.140393261030777,0,854,295.12692441583755,22.140393261030777,5.1048774323982915
2086,3335.0,17.889952956989244,0,696,266.93903230831,17.889952956989244,-19.81245491704736
2087,3001.0,15.864954115684093,0,925,305.8890049238994,15.864954115684093,-10.014992503748122
2088,4034.0,21.822151928068223,0,1051,356.75095294090306,21.822151928068223,34.421859380206584
2089,5991.0,32.198577122728956,0,1440,554.3876433425525,32.198577122728956,48.5126425384234
2090,4511.0,24.15118650352243,3,1002,356.9406516325631,24.15118650352243,-24.703722250041725
2091,3142.0,16.971200639599555,0,868,267.3703027411212,16.971200639599555,-30.34803812901795
2092,7444.0,39.82965447719689,0,1569,686.25814561595,39.82965447719689,136.91915977084662
2093,3590.0,19.102967417500928,0,1502,443.8527260525077,19.102967417500928,-51.77324019344438
2094,4903.0,25.975505190952916,0,2122,593.3716386171078,25.975505190952916,36.57381615598885
2095,4647.0,24.584086484983317,0,1354,496.73737802512176,24.584086484983317,-5.221293085865797
2096,2925.0,15.593043196143862,0,689,253.96460920229168,15.593043196143862,-37.056165267914785
2097,2406.0,12.86290901928068,7,500,188.6731179965642,12.86290901928068,-17.743589743589737
2098,2497.0,13.268353726362626,0,654,224.8609502997285,13.268353726362626,3.7822111388196245
2099,4839.0,25.620295698924732,11,1670,545.5762799762534,25.620295698924732,93.79255106127353
2100,5594.0,29.66191601779755,0,1800,598.6074496595234,29.66191601779755,15.60239718950196
2006,9759.0,51.37231182795699,0,3569,1130.3716303620117,51.37231182795699,
2007,4689.0,25.41037495365221,0,1588,445.41056137211,25.41037495365221,-51.95204426683062
2008,5140.0,27.745938774564333,0,1949,661.1570207300276,27.745938774564333,9.618255491576022
2009,5111.0,26.947198275862068,15,1546,501.78906440008745,26.947198275862068,-0.5642023346303482
2010,3496.0,18.443096496106786,0,800,282.5620875725074,18.443096496106786,-31.59851301115242
2011,4543.0,24.084300843529846,0,1359,457.14995716212565,24.084300843529846,29.94851258581235
2012,5183.0,27.560912588060813,0,1339,410.2319650533283,27.560912588060813,14.087607307946293
2013,6509.0,34.99607202447164,6,2117,696.1386301766642,34.99607202447164,25.58363881921668
2014,5972.0,31.85042987578791,0,1280,458.4143289314776,31.85042987578791,-8.250115225072975
2015,5251.0,27.777849230626625,5,1572,419.7851091675214,27.777849230626625,-12.073007367716004
2016,8131.0,42.962678439006304,4,2699,785.2475531302022,42.962678439006304,54.84669586745381
2017,5223.0,27.50997636262514,0,1288,500.0582011580798,27.50997636262514,-35.76435862747509
